,ID_HECHO,NUM_VICTIMAS,FECHA,AÑO,MES,DÍA,HORA,HH,TIPO_DE_CALLE,CALLE,COMUNA,POS X,POS Y,VICTIMA,ACUSADO
0,2016-0001,1,1/1/2016,2016,1,1,4:00:00,4,AVENIDA,PIEDRA BUENA AV.,8,-58.47533969,-34.68757022,MOTO,AUTO
1,2016-0002,1,1/2/2016,2016,1,2,1:15:00,1,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS
2,2016-0003,1,1/3/2016,2016,1,3,7:00:00,7,AVENIDA,ENTRE RIOS AV.,1,-58.39040293,-34.63189362,MOTO,AUTO
3,2016-0004,1,1/10/2016,2016,1,10,0:00:00,0,AVENIDA,LARRAZABAL AV.,8,-58.46503904,-34.68092974,MOTO,AUTO
4,2016-0005,1,1/21/2016,2016,1,21,5:20:00,5,AVENIDA,SAN JUAN AV.,1,-58.38718297,-34.6224663,MOTO,PASAJEROS
5,2016-0008,1,1/24/2016,2016,1,24,18:30:00,18,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
6,2016-0009,1,1/24/2016,2016,1,24,19:10:00,19,CALLE,NOGOYA,11,-58.50095869,-34.6082544,MOTO,AUTO
7,2016-0010,1,1/29/2016,2016,1,29,15:20:00,15,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,MOTO,AUTO
8,2016-0012,1,2/8/2016,2016,2,8,1:20:00,1,AVENIDA,BELGRANO AV.,1,-58.38048577,-34.61303893,MOTO,CARGAS
9,2016-0013,1,2/10/2016,2016,2,10,11:30:00,11,AVENIDA,ENTRE RIOS AV.,1,-58.39114932,-34.62477387,PEATON,AUTO
10,2016-0015,1,2/14/2016,2016,2,14,5:14:00,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",15,-58.4376002,-34.59912758,PEATON,AUTO
11,2016-0016,1,2/14/2016,2016,2,14,22:00:00,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,4,-58.36882665,-34.64291993,MOTO,AUTO
12,2016-0017,1,2/15/2016,2016,2,15,16:54:00,16,AVENIDA,"ACOSTA, MARIANO",8,-58.44989671,-34.65970435,PEATON,MOTO
13,2016-0019,1,2/17/2016,2016,2,17,9:30:00,9,CALLE,"DE LA TORRE, LISANDRO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS
14,2016-0020,1,2/17/2016,2016,2,17,16:00:00,16,CALLE,SUIPACHA,1,-58.37952223,-34.60653282,PEATON,AUTO
15,2016-0021,1,2/17/2016,2016,2,17,23:35:00,23,AVENIDA,DIRECTORIO AV.,7,-58.45157703,-34.63063795,AUTO,AUTO
16,2016-0022,1,2/21/2016,2016,2,21,6:00:00,6,AVENIDA,9 DE JULIO AV.,1,-58.38144696,-34.61079875,MOTO,AUTO
17,2016-0025,1,2/28/2016,2016,2,28,4:50:00,4,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.46244952,-34.70524971,AUTO,AUTO
18,2016-0026,1,2/28/2016,2016,2,28,7:30:00,7,CALLE,HOLMBERG,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO
19,2016-0027,1,2/28/2016,2016,2,28,9:35:00,9,AVENIDA,CURAPALIGUE AV.,7,-58.44497874,-34.63852623,AUTO,AUTO
20,2016-0028,1,3/2/2016,2016,3,2,10:00:00,10,AVENIDA,VIAMONTE,1,-58.38199706,-34.60028648,PEATON,CARGAS
21,2016-0029,1,3/4/2016,2016,3,4,17:30:00,17,AVENIDA,CABILDO AV.,12,-58.47378664,-34.54153077,PEATON,PASAJEROS
22,2016-0031,1,3/8/2016,2016,3,8,12:30:00,12,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.47064556,-34.69843756,MOTO,PASAJEROS
23,2016-0034,1,3/12/2016,2016,3,12,12:30:00,12,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40623949,-34.65076549,PEATON,PASAJEROS
24,2016-0035,1,3/13/2016,2016,3,13,6:00:00,6,AVENIDA,CORRIENTES AV.,3,-58.39228965,-34.60443527,MOTO,PASAJEROS
25,2016-0036,1,3/14/2016,2016,3,14,0:15:00,0,CALLE,HERRERA,4,-58.37813396,-34.63668504,MOTO,PASAJEROS
26,2016-0037,1,3/19/2016,2016,3,19,11:00:00,11,AVENIDA,LAFUENTE AV.,7,-58.46275892,-34.64358293,MOTO,MOTO
27,2016-0038,1,3/21/2016,2016,3,21,8:06:00,8,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.49683458,-34.67892743,PEATON,PASAJEROS
28,2016-0039,1,3/23/2016,2016,3,23,1:50:00,1,AVENIDA,"MITRE, BARTOLOME",3,-58.40603217,-34.6088396,MOTO,PASAJEROS
29,2016-0041,2,3/29/2016,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,7,-58.4607655,-34.63350444,MOTO,CARGAS
30,2016-0043,1,3/30/2016,2016,3,30,18:15:00,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",8,-58.47832463,-34.67494416,PEATON,CARGAS
31,2016-0044,1,3/31/2016,2016,3,31,19:40:00,19,AVENIDA,"MORENO, JOSE MARIA AV.",7,-58.43213235,-34.63693953,MOTO,MULTIPLE
32,2016-0045,1,4/11/2016,2016,4,11,10:25:00,10,GRAL PAZ,"PAZ, GRAL. AV.",13,-58.46743471,-34.53476874,MOTO,AUTO
33,2016-0047,1,4/15/2016,2016,4,15,5:30:00,5,CALLE,LIMA,1,-58.38247061,-34.62571878,PEATON,PASAJEROS
34,2016-0048,1,4/15/2016,2016,4,15,17:40:00,17,AVENIDA,CORRIENTES AV.,15,-58.44759966,-34.5917024,PEATON,PASAJEROS
35,2016-0049,1,4/17/2016,2016,4,17,0:00:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,MOTO,AUTO
36,2016-0050,1,4/19/2016,2016,4,19,9:50:00,9,AVENIDA,"GORDILLO, TIMOTEO",8,-58.47305463,-34.68550712,PEATON,PASAJEROS
37,2016-0051,1,4/20/2016,2016,4,20,4:00:00,4,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40623949,-34.65076549,MOTO,CARGAS
38,2016-0052,1,4/20/2016,2016,4,20,20:00:00,20,AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,0.0,0.0,MOTO,AUTO
39,2016-0053,1,4/22/2016,2016,4,22,9:30:00,9,AVENIDA,TRIUNVIRATO AV.,12,-58.4842918,-34.57558053,PEATON,PASAJEROS
40,2016-0054,1,4/23/2016,2016,4,23,21:00:00,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.48695354,-34.68795245,MOTO,MOTO
41,2016-0055,1,4/25/2016,2016,4,25,20:30:00,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",14,-58.40021959,-34.57964781,PEATON,CARGAS
42,2016-0056,1,4/26/2016,2016,4,26,4:45:00,4,AVENIDA,"CAMPOS, LUIS M. AV.",14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO
43,2016-0058,1,5/4/2016,2016,5,4,14:00:00,14,CALLE,LIMA,1,-58.38247542,-34.62556293,PEATON,MOTO
44,2016-0059,1,5/8/2016,2016,5,8,16:30:00,16,CALLE,CIUDADELA,1,-58.38222219,-34.62728101,PEATON,PASAJEROS
45,2016-0064,1,5/14/2016,2016,5,14,18:11:00,18,AVENIDA,"JUSTO, JUAN B. AV.",10,-58.49485242,-34.62953445,PEATON,PASAJEROS
46,2016-0065,1,5/20/2016,2016,5,20,14:40:00,14,AVENIDA,GAONA AV.,6,-58.45227946,-34.61068024,PEATON,AUTO
47,2016-0067,1,5/21/2016,2016,5,21,17:00:00,17,AVENIDA,"DE LA TORRE, LISANDRO",8,-58.48455411,-34.6751276,MOTO,PASAJEROS
48,2016-0068,1,5/22/2016,2016,5,22,22:00:00,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",2,-58.39056593,-34.58418569,MOTO,PASAJEROS
49,2016-0069,1,5/23/2016,2016,5,23,3:30:00,3,AVENIDA,ENTRE RIOS AV.,3,-58.39118948,-34.62704273,AUTO,CARGAS
50,2016-0073,1,6/11/2016,2016,6,11,15:00:00,15,CALLE,"MAGARI?OS CERVANTES, A.",10,-58.49021952,-34.62025108,MOTO,CARGAS
51,2016-0074,1,6/12/2016,2016,6,12,6:40:00,6,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.49896559,-34.67732118,AUTO,AUTO
52,2016-0075,1,6/12/2016,2016,6,12,23:13:00,23,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47461076,-34.66874679,PEATON,AUTO
53,2016-0076,1,6/13/2016,2016,6,13,16:20:00,16,AVENIDA,SAN MARTIN AV.,15,-58.46210891,-34.60356211,PEATON,PASAJEROS
54,2016-0077,1,6/13/2016,2016,6,13,21:52:00,21,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",1,-58.3702777,-34.60536123,PEATON,PASAJEROS
55,2016-0078,1,6/13/2016,2016,6,13,23:01:00,23,AVENIDA,BELGRANO AV.,3,-58.40491455,-34.6146383,MOTO,MOTO
56,2016-0079,1,6/16/2016,2016,6,16,17:13:00,17,AVENIDA,DEL LIBERTADOR AV.,13,-58.45504154,-34.54864492,AUTO,AUTO
57,2016-0080,1,6/18/2016,2016,6,18,6:42:00,6,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.52927982,-34.63931752,AUTO,AUTO
58,2016-0081,1,6/22/2016,2016,6,22,7:42:00,7,AVENIDA,"LARRALDE, CRISOLOGO AV.",12,-58.4872106,-34.55904606,MOTO,AUTO
59,2016-0082,1,6/27/2016,2016,6,27,18:24:00,18,AVENIDA,LA PLATA AV.,4,-58.42273092,-34.64228803,PEATON,AUTO
60,2016-0083,1,6/28/2016,2016,6,28,20:46:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",6,-58.44788671,-34.62539009,PEATON,MOTO
61,2016-0084,1,6/29/2016,2016,6,29,22:00:00,22,CALLE,"PELLEGRINI, CARLOS",1,-58.38110563,-34.60135531,PEATON,PASAJEROS
62,2016-0085,1,6/29/2016,2016,6,29,22:00:00,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.42378834,-34.657341,MOTO,OTRO
63,2016-0086,1,6/30/2016,2016,6,30,16:10:00,16,AVENIDA,OLIVERA AV.,10,-58.48727942,-34.63652467,PEATON,PASAJEROS
64,2016-0087,1,7/2/2016,2016,7,3,0:10:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO
65,2016-0088,1,7/11/2016,2016,7,11,15:30:00,15,CALLE,CERETTI,12,-58.5015175,-34.56767549,PEATON,AUTO
66,2016-0089,1,7/14/2016,2016,7,14,6:40:00,6,AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,-58.43233425,-34.55185825,PEATON,AUTO
67,2016-0090,1,7/14/2016,2016,7,14,22:00:00,22,AVENIDA,"SALGUERO, JERONIMO",5,-58.41971993,-34.6111224,PEATON,PASAJEROS
68,2016-0092,1,7/15/2016,2016,7,15,11:00:00,11,GRAL PAZ,"PAZ, GRAL. AV.",13,-58.46743471,-34.53476874,MOTO,CARGAS
69,2016-0093,1,7/17/2016,2016,7,17,3:30:00,3,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",6,-58.44362126,-34.62301748,AUTO,AUTO
70,2016-0095,1,7/23/2016,2016,7,23,6:12:00,6,AVENIDA,MERCEDES,11,-58.51713095,-34.59546519,MOTO,AUTO
71,2016-0096,1,7/25/2016,2016,7,25,7:00:00,7,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS
72,2016-0097,1,7/26/2016,2016,7,26,18:45:00,18,CALLE,SOLIS,1,-58.39038605,-34.6156281,PEATON,AUTO
73,2016-0098,1,7/27/2016,2016,7,27,16:08:00,16,AVENIDA,SAN JUAN AV.,3,-58.40042405,-34.62356174,MOTO,CARGAS
74,2016-0099,1,7/29/2016,2016,7,29,16:00:00,16,GRAL PAZ,MOSCONI GENERAL AV.,11,-58.52340614,-34.59798754,CARGAS,CARGAS
75,2016-0100,1,8/3/2016,2016,8,3,23:27:00,23,GRAL PAZ,"PAZ, GRAL. AV.",12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO
76,2016-0101,1,8/7/2016,2016,8,7,19:42:00,19,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.52932872,-34.65014993,MOTO,AUTO
77,2016-0102,1,8/10/2016,2016,8,10,23:37:00,23,AVENIDA,"PERON, EVA AV.",9,-58.50011639,-34.67316502,MOTO,CARGAS
78,2016-0104,1,8/14/2016,2016,8,14,21:15:00,21,AVENIDA,ZINNY,9,-58.46635001,-34.65624369,MOTO,PASAJEROS
79,2016-0105,1,8/17/2016,2016,8,17,0:05:00,0,AVENIDA,"LACROZE, FEDERICO AV.",15,-58.45343236,-34.58435809,PEATON,PASAJEROS
80,2016-0106,1,8/19/2016,2016,8,19,21:02:00,21,AVENIDA,"PELLEGRINI, CARLOS",1,-58.38090932,-34.58927731,PEATON,PASAJEROS
81,2016-0107,1,8/20/2016,2016,8,20,8:22:00,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37157668,-34.65429986,MOTO,AUTO
82,2016-0109,1,8/24/2016,2016,8,24,5:45:00,5,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO
83,2016-0110,1,8/24/2016,2016,8,24,20:21:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,-58.51232237,-34.6590353,PEATON,AUTO
84,2016-0111,1,8/25/2016,2016,8,25,9:30:00,9,AUTOPISTA,LUGONES,15,-58.47461905,-34.57663634,MOTO,CARGAS
85,2016-0112,1,8/27/2016,2016,8,27,4:40:00,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO
86,2016-0113,1,8/27/2016,2016,8,27,16:45:00,16,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,-58.49603546,-34.64564271,PEATON,PASAJEROS
87,2016-0114,1,8/31/2016,2016,8,31,11:20:00,11,CALLE,"SALGUERO, JERONIMO",14,-58.41848605,-34.59394733,BICICLETA,CARGAS
88,2016-0115,1,9/2/2016,2016,9,2,11:50:00,11,CALLE,ARIAS,12,-58.48935041,-34.54917673,MOTO,CARGAS
89,2016-0116,1,9/2/2016,2016,9,2,20:20:00,20,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,MOTO,AUTO
90,2016-0117,1,9/3/2016,2016,9,3,15:30:00,15,AVENIDA,DEL LIBERTADOR AV.,14,-58.39936478,-34.58271474,AUTO,AUTO
91,2016-0118,1,9/4/2016,2016,9,4,3:30:00,3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37936704,-34.62694503,AUTO,AUTO
92,2016-0119,1,9/4/2016,2016,9,4,6:40:00,6,AVENIDA,"LARRALDE, CRISOLOGO AV.",12,-58.49659234,-34.56353635,MOTO,AUTO
93,2016-0122,1,9/13/2016,2016,9,13,7:10:00,7,AVENIDA,"PERON, EVA AV.",9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS
94,2016-0123,1,9/14/2016,2016,9,14,9:00:00,9,AVENIDA,ASAMBLEA AV.,7,-58.45130953,-34.64053676,MOTO,AUTO
95,2016-0124,1,9/16/2016,2016,9,16,15:24:00,15,AVENIDA,RIVADAVIA AV.,7,-58.46271207,-34.62884871,PEATON,PASAJEROS
96,2016-0125,1,9/17/2016,2016,9,17,12:14:00,12,AUTOPISTA,AUTOPISTA PERITO MORENO,10,-58.49020869,-34.64243791,MOTO,MOTO
97,2016-0126,2,9/18/2016,2016,9,18,22:45:00,22,CALLE,IRIGOYEN,10,-58.52572109,-34.62125906,AUTO,CARGAS
98,2016-0127,1,9/24/2016,2016,9,24,10:25:00,10,AVENIDA,"ACOSTA, MARIANO",8,-58.44094791,-34.66677111,PEATON,PASAJEROS
99,2016-0128,1,10/2/2016,2016,10,2,11:30:00,11,AVENIDA,CASTRO,5,-58.41914024,-34.6305389,PEATON,PASAJEROS
100,2016-0130,1,10/4/2016,2016,10,4,12:30:00,12,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37910942,-34.62764717,MOTO,CARGAS
101,2016-0131,1,10/9/2016,2016,10,9,19:13:00,19,CALLE,MIRAVE,4,-58.39871183,-34.64539318,PEATON,AUTO
102,2016-0132,1,10/10/2016,2016,10,10,2:30:00,2,AVENIDA,SAN JUAN AV.,3,-58.41036975,-34.62477021,AUTO,PASAJEROS
103,2016-0133,1,10/14/2016,2016,10,14,0:05:00,0,AVENIDA,LAS HERAS GENERAL AV.,14,-58.40204698,-34.5834269,MOTO,AUTO
104,2016-0134,1,10/23/2016,2016,10,23,5:00:00,5,AVENIDA,PIEDRA BUENA AV.,8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO
105,2016-0135,1,10/24/2016,2016,10,24,5:00:00,5,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",14,-58.42260225,-34.56403694,PEATON,AUTO
106,2016-0136,1,10/25/2016,2016,10,25,0:00:00,0,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,4,0.0,0.0,MOTO,CARGAS
107,2016-0137,1,10/25/2016,2016,10,25,0:39:00,0,AVENIDA,SAN MARTIN AV.,11,-58.51537091,-34.59035925,MOTO,MOTO
108,2016-0138,1,10/27/2016,2016,10,27,20:30:00,20,AVENIDA,CABILDO AV.,13,-58.4590967,-34.55922742,BICICLETA,CARGAS
109,2016-0139,1,10/28/2016,2016,10,28,23:00:00,23,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",14,-58.42008769,-34.56539579,MOTO,MOTO
110,2016-0140,1,10/31/2016,2016,10,31,2:58:00,2,AVENIDA,JURAMENTO AV.,13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS
111,2016-0142,1,11/5/2016,2016,11,5,23:30:00,23,AVENIDA,DEL LIBERTADOR AV.,1,-58.37533517,-34.59276462,MOTO,PASAJEROS
112,2016-0143,1,11/6/2016,2016,11,6,4:41:00,4,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,MOTO,AUTO
113,2016-0144,1,11/7/2016,2016,11,7,12:10:00,12,AVENIDA,"BROWN, ALTE. AV.",4,-58.35975012,-34.63343907,PEATON,PASAJEROS
114,2016-0145,1,11/7/2016,2016,11,7,20:56:00,20,AVENIDA,DEL LIBERTADOR AV.,13,-58.44523595,-34.55953855,MOTO,AUTO
115,2016-0146,1,11/9/2016,2016,11,9,20:00:00,20,AVENIDA,PICHINCHA AV.,4,-58.39626094,-34.63036565,PEATON,PASAJEROS
116,2016-0147,1,11/16/2016,2016,11,16,21:15:00,21,AVENIDA,INDEPENDENCIA AV.,1,-58.38896772,-34.61799615,AUTO,PASAJEROS
117,2016-0148,1,11/16/2016,2016,11,16,22:20:00,22,AVENIDA,GARMENDIA AV.,15,-58.46536113,-34.59484504,MOTO,MOTO
118,2016-0150,1,11/18/2016,2016,11,18,18:20:00,18,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40879146,-34.65273216,CARGAS,CARGAS
119,2016-0152,1,11/23/2016,2016,11,23,21:10:00,21,AVENIDA,"MORENO, PERITO AV.",7,-58.46451841,-34.64991946,MOTO,AUTO
120,2016-0153,1,11/25/2016,2016,11,25,15:42:00,15,AVENIDA,ARAOZ,15,-58.4291709,-34.59485488,PEATON,MOTO
121,2016-0154,1,11/26/2016,2016,11,26,14:14:00,14,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.49007772,-34.68251141,MOTO,MOTO
122,2016-0155,1,11/26/2016,2016,11,26,16:50:00,16,CALLE,MADERO,10,-58.52756365,-34.62772274,PEATON,AUTO
123,2016-0156,1,11/26/2016,2016,11,26,19:40:00,19,AVENIDA,INDEPENDENCIA AV.,3,-58.40638983,-34.61943202,MOTO,PASAJEROS
124,2016-0157,1,12/3/2016,2016,12,3,6:40:00,6,AVENIDA,"JUSTO, JUAN B. AV.",11,-58.47576807,-34.61740997,MOTO,MOTO
125,2016-0159,1,12/4/2016,2016,12,4,7:21:00,7,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,AUTO,AUTO
126,2016-0160,1,12/6/2016,2016,12,6,5:30:00,5,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO
127,2016-0161,1,12/6/2016,2016,12,6,7:22:00,7,AVENIDA,SANTA FE AV.,14,-58.42525456,-34.57866344,PEATON,PASAJEROS
128,2016-0162,1,12/7/2016,2016,12,7,5:00:00,5,AVENIDA,"LACROZE, FEDERICO AV.",15,-58.45396573,-34.58518167,PEATON,AUTO
129,2016-0163,1,12/10/2016,2016,12,10,7:30:00,7,GRAL PAZ,"PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,MOTO,AUTO
130,2016-0164,1,12/11/2016,2016,12,11,6:16:00,6,AVENIDA,LA PLATA AV.,4,-58.42323628,-34.64119105,AUTO,AUTO
131,2016-0165,1,12/12/2016,2016,12,12,8:25:00,8,AVENIDA,"GARCIA, MARTIN AV.",4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS
132,2016-0168,1,12/13/2016,2016,12,13,10:40:00,10,AVENIDA,LA PLATA AV.,4,-58.42323628,-34.64119105,MOTO,AUTO
133,2016-0169,1,12/15/2016,2016,12,15,15:30:00,15,AVENIDA,NU?EZ,12,-58.47935434,-34.55676497,MOTO,PASAJEROS
134,2016-0170,1,12/19/2016,2016,12,19,17:10:00,17,GRAL PAZ,"PAZ, GRAL. AV.",12,-58.50598256,-34.5637998,MOTO,AUTO
135,2016-0171,1,12/25/2016,2016,12,25,19:00:00,19,AUTOPISTA,"HUERGO, ING. AV.",1,-58.36607137,-34.62150748,MOTO,MOTO
136,2016-0172,1,12/26/2016,2016,12,26,8:00:00,8,AVENIDA,"GARAY, JUAN DE AV.",5,-58.41918902,-34.63174259,MOTO,CARGAS
